,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,norm_value,pIC50
0,CHEMBL260397,Oc1nc2ccccc2n1C1CCN(Cc2ccc(-c3nc4ccccc4nc3-c3ccccc3)cc2)CC1,50000.0,inactive,511.6290000000002,6.8562000000000065,1.0,6.0,50000.0,4.301029995663981
2,CHEMBL178397,Cc1nc(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)[nH]c1=O,20000.0,inactive,491.5950000000002,4.892420000000004,2.0,5.0,20000.0,4.698970004336019
3,CHEMBL178468,CC(C)Cc1nc(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(O)nc5ccccc54)CC3)cc2)nc1O,20000.0,inactive,533.6760000000004,6.607100000000009,2.0,7.0,20000.0,4.698970004336019
4,CHEMBL359864,Oc1nc2ccccc2n1C1CCN(Cc2ccc(-c3nc4ccccc4cc3-c3ccccc3)cc2)CC1,50000.0,inactive,510.6410000000002,7.461200000000007,1.0,5.0,50000.0,4.301029995663981
5,CHEMBL178349,Oc1nc2ccccc2n1C1CCN(Cc2ccc(-c3cc4ccccc4nc3-c3ccccc3)cc2)CC1,50000.0,inactive,510.6410000000002,7.461200000000007,1.0,5.0,50000.0,4.301029995663981
6,CHEMBL255212,N#Cc1cnc(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)c1,50000.0,inactive,485.5910000000002,5.7673800000000055,1.0,5.0,50000.0,4.301029995663981
7,CHEMBL360333,N#Cc1cnc(-c2ccc(CNCc3ccc(-c4csnn4)cc3)cc2)c(-c2ccccc2)c1,50000.0,inactive,459.5780000000001,6.095580000000004,1.0,6.0,50000.0,4.301029995663981
8,CHEMBL368010,N#Cc1cnc(-c2ccc(CN3CCC(c4nc5cc(F)ccc5[nH]4)CC3)cc2)c(-c2ccccc2)c1,50000.0,inactive,487.58200000000016,6.682280000000006,1.0,4.0,50000.0,4.301029995663981
9,CHEMBL181927,Cc1ccc2[nH]c(C3CCN(Cc4ccc(-c5ncc(C#N)cc5-c5ccccc5)cc4)CC3)nc2c1,50000.0,inactive,483.61900000000026,6.851600000000007,1.0,4.0,50000.0,4.301029995663981
10,CHEMBL369094,N#Cc1cnc(-c2ccc(CN3CCC(c4nc5ccccc5[nH]4)CC3)cc2)c(-c2ccccc2)c1,50000.0,inactive,469.59200000000016,6.543180000000006,1.0,4.0,50000.0,4.301029995663981
